year,month,day,hour,miniute,Temperature1,Temperature2,VaporPressure1,VaporPressure2,ShortwavRadiation,AverageNetRadiation,SoilTemperature,WaterContent2,Total Precipitation
2003,1,1,0,0,-18.74,-19.8,0.066,0.065,0.261,0,-8.87,0.067,0
2003,1,1,0,30,-18.44,-18.89,0.069,0.07,0.004,0,-9.04,0.066,0
2003,1,1,1,0,-20.12,-20.57,0.064,0.063,0,0,-9.18,0.066,0
2003,1,1,1,30,-18.33,-20.11,0.069,0.065,0.014,0,-9.33,0.066,0
2003,1,1,2,0,-18.43,-20.18,0.069,0.067,0.454,0,-9.47,0.066,0
2003,1,1,2,30,-18.13,-19.39,0.07,0.069,0.023,0,-9.6,0.066,0
2003,1,1,3,0,-19.46,-20.11,0.068,0.068,0.035,0,-9.71,0.066,0
2003,1,1,3,30,-18.25,-18.65,0.077,0.077,0.107,0,-9.83,0.066,0
2003,1,1,4,0,-18.46,-18.82,0.073,0.074,0,0,-9.9,0.065,0
2003,1,1,4,30,-20.48,-20.88,0.067,0.067,0,0,-9.98,0.065,0
2003,1,1,5,0,-21.2,-21.69,0.063,0.063,0,0,-10.08,0.065,0
2003,1,1,5,30,-21.9,-22.49,0.059,0.059,0,0,-10.19,0.065,0
2003,1,1,6,0,-21.19,-21.77,0.062,0.062,0,0,-10.32,0.065,0
2003,1,1,6,30,-21.88,-22.35,0.061,0.061,0,0,-10.44,0.065,0
2003,1,1,7,0,-19.99,-20.53,0.068,0.067,0.099,0,-10.55,0.065,0
2003,1,1,7,30,-20.63,-20.93,0.065,0.065,0.14,0,-10.66,0.065,0
2003,1,1,8,0,-19.75,-20.25,0.069,0.069,14.37,0,-10.77,0.065,0
2003,1,1,8,30,-17.7,-18.05,0.08,0.08,55.56,80.9,-10.86,0.064,0
2003,1,1,9,0,-12.03,-12.04,0.096,0.099,151.5,196.3,-10.9,0.064,0
2003,1,1,9,30,-9.44,-9.1,0.099,0.102,238.2,327.8,-10.87,0.064,0
2003,1,1,10,0,-9.96,-9.44,0.103,0.105,286.1,414.2,-10.74,0.064,0
2003,1,1,10,30,-10.27,-9.91,0.099,0.101,255.9,396.2,-10.49,0.064,0
2003,1,1,11,0,-7.699,-7.279,0.083,0.085,349.7,543.6,-10.21,0.064,0
2003,1,1,11,30,-6.932,-6.543,0.063,0.066,312.5,507.1,-9.83,0.064,0
2003,1,1,12,0,-6.768,-6.339,0.054,0.058,293.3,479,-9.38,0.064,0
2003,1,1,12,30,-6.507,-6.11,0.055,0.058,316.1,515,-8.96,0.064,0
2003,1,1,13,0,-6.354,-5.891,0.046,0.048,289.9,478.4,-8.59,0.065,0
2003,1,1,13,30,-6.11,-5.654,0.046,0.047,298.8,489.8,-8.24,0.065,0
2003,1,1,14,0,-5.49,-4.994,0.047,0.047,345.1,557.6,-7.914,0.065,0
2003,1,1,14,30,-4.794,-4.148,0.048,0.049,393.4,622.8,-7.581,0.065,0
2003,1,1,15,0,-5.144,-4.732,0.046,0.046,277.4,440.3,-7.248,0.065,0
2003,1,1,15,30,-5.657,-5.397,0.046,0.046,191.2,304.5,-7.003,0.065,0
2003,1,1,16,0,-6.33,-6.215,0.046,0.048,111.5,179.3,-6.873,0.066,0
2003,1,1,16,30,-7.005,-6.985,0.048,0.051,70.29,111.7,-6.832,0.066,0
2003,1,1,17,0,-8.37,-8.58,0.048,0.051,18.45,34.24,-6.861,0.066,0
2003,1,1,17,30,-10.34,-10.85,0.047,0.048,0.011,2.808,-6.978,0.066,0
2003,1,1,18,0,-14.4,-15.91,0.041,0.041,0.0055,0.01,-7.186,0.066,0
2003,1,1,18,30,-16.53,-17.31,0.044,0.044,0,0,-7.462,0.066,0
2003,1,1,19,0,-12.18,-15.15,0.042,0.041,0.31,0,-7.742,0.066,0
2003,1,1,19,30,-15.47,-16.88,0.042,0.042,0.28,0,-8.01,0.066,0
2003,1,1,20,0,-15.96,-17.02,0.042,0.043,0.47,0,-8.26,0.066,0
2003,1,1,20,30,-14.15,-15.23,0.043,0.044,0.717,0,-8.48,0.066,0
2003,1,1,21,0,-13.83,-15.03,0.04,0.042,0.02,0,-8.67,0.066,0
2003,1,1,21,30,-12.58,-13.15,0.039,0.041,0.182,0,-8.86,0.066,0
2003,1,1,22,0,-13.04,-13.5,0.035,0.037,0,0,-9.01,0.066,0
2003,1,1,22,30,-15.02,-15.67,0.034,0.035,0.023,0,-9.14,0.066,0
2003,1,1,23,0,-14.32,-15.41,0.032,0.033,0.004,0,-9.3,0.065,0
2003,1,1,23,30,-15.28,-16,0.033,0.035,0,0,-9.48,0.065,0
2003,1,2,0,0,-16.49,-17.33,0.032,0.034,0,0,-9.65,0.065,0
2003,1,2,0,30,-17.07,-17.77,0.033,0.034,0,0,-9.81,0.065,0
2003,1,2,1,0,-17.94,-18.73,0.033,0.034,0,0,-9.97,0.065,0
